"Symbol","Description","IPO Date","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"BRK.A","Berkshire Hathaway Inc. Class A","02/11/2013","Common stocks","Large cap","Financials","$790,216,070,732","0.00%","USA","Analyze"
"ABNB","Airbnb, Inc.","12/01/2020","Common stocks","Large cap","Consumer Discretionary","$104,603,046,240","0.00%","USA","Analyze"
"BX","Blackstone Group Inc. Class A","06/22/2007","Common stocks","Large cap","Financials","$87,390,700,768","3.16%","USA","Analyze"
"UBER","Uber Technologies, Inc.","05/08/2019","Common stocks","Large cap","Industrials","$68,071,943,053","0.00%","USA","Analyze"
"SNOW","Snowflake Inc. Class A","09/14/2020","Common stocks","Large cap","Information Technology","$65,872,332,886","0.00%","USA","Analyze"
"MRVL","Marvell Technology Group Ltd","02/26/2001","Common stocks","Large cap","Information Technology","$61,897,878,000","0.25%","USA","Analyze"
"MELI","Mercadolibre Inc","08/10/2007","Common stocks","Large cap","Consumer Discretionary","$60,999,402,953","0.00%","USA","Analyze"
"PANW","Palo Alto Networks Inc","07/20/2012","Common stocks","Large cap","Information Technology","$60,641,764,990","0.00%","USA","Analyze"
"SQ","Square Inc Class A","11/19/2015","Common stocks","Large cap","Information Technology","$59,542,500,000","0.00%","USA","Analyze"
"EPD","Enterprise Products Partners LP","02/01/2001","MLPs","Large cap","Energy","$56,738,215,833","6.77%","USA","Analyze"
"SNAP","Snap Inc. Class A","03/02/2017","Common stocks","Large cap","Communication Services","$54,891,109,586","0.00%","USA","Analyze"
"KDP","Keurig Dr Pepper Inc.","07/15/2013","Common stocks","Large cap","Consumer Staples","$54,102,741,548","1.47%","USA","Analyze"
"COIN","Coinbase Class A","11/03/1998","Common stocks","Large cap","Financials","$51,397,710,000","0.00%","USA","Analyze"
"VMW","VMWare Inc Class A","08/14/2007","Common stocks","Large cap","Information Technology","$48,922,530,800","0.00%","USA","Analyze"
"WDAY","Workday Inc","10/12/2012","Common stocks","Large cap","Information Technology","$47,345,760,000","0.00%","USA","Analyze"
"CRWD","CrowdStrike Holdings, Inc. - Class A","06/12/2019","Common stocks","Large cap","Information Technology","$47,254,677,600","0.00%","USA","Analyze"
"RIVN","Rivian Automotive, Inc.  Class A","11/10/2021","Common stocks","Large cap","Consumer Discretionary","$46,418,527,540","0.00%","USA","Analyze"
"LULU","Lululemon Athletica Inc","07/27/2007","Common stocks","Large cap","Consumer Discretionary","$46,251,987,760","0.00%","USA","Analyze"
"LCID","Lucid Group, Inc.","09/18/2020","Common stocks","Large cap","Consumer Discretionary","$43,811,310,739","0.00%","USA","Analyze"
"STZ.B","Constellation Brands Class B","11/14/2013","Common stocks","Large cap","Consumer Staples","$43,703,875,457","0.30%","USA","Analyze"
"DDOG","Datadog, Inc. - Class A","09/19/2019","Common stocks","Large cap","Information Technology","$39,553,461,658","0.00%","USA","Analyze"
"DELL","Dell Technologies Inc. Class C","01/02/1990","Common stocks","Large cap","Information Technology","$39,327,680,000","2.47%","USA","Analyze"
"NET","Cloudflare, Inc. Class A","09/13/2019","Common stocks","Large cap","Information Technology","$38,228,120,000","0.00%","USA","Analyze"
"APO","Apollo Global Management LLC","03/30/2011","MLPs","Large cap","Financials","$37,824,000,000","0.63%","USA","Analyze"
"DASH","DoorDash Inc","01/22/2018","Common stocks","Large cap","Consumer Discretionary","$37,556,941,800","0.00%","USA","Analyze"
"ET","Energy Transfer Operating LP","11/12/2013","MLPs","Large cap","Energy","$36,680,929,757","5.36%","USA","Analyze"
"LNG","Cheniere Energy Inc","02/26/2001","Common stocks","Large cap","Energy","$35,941,328,954","0.47%","USA","Analyze"
"GFS","GlobalFoundries Inc","08/12/2010","Common stocks","Large cap","Information Technology","$35,834,615,039","0.00%","USA","Analyze"
"ZM","Zoom Video Communications, Inc. - Class A","04/18/2019","Common stocks","Large cap","Information Technology","$35,004,397,709","0.00%","USA","Analyze"
"KKR","KKR & Co Inc.","07/15/2010","Common stocks","Large cap","Financials","$34,696,897,313","0.97%","USA","Analyze"
"MPLX","MPLX LP","10/26/2012","MLPs","Large cap","Energy","$34,532,582,783","7.96%","USA","Analyze"
"ZS","Zscaler Inc","03/16/2018","Common stocks","Large cap","Information Technology","$33,846,372,106","0.00%","USA","Analyze"
"BATRA","Liberty Media Liberty Braves Corp Series A","04/18/2016","Common stocks","Large cap","Communication Services","$32,671,100,423","0.00%","USA","Analyze"
"BATRK","Liberty Media Liberty Braves Corp Series C","04/18/2016","Common stocks","Large cap","Communication Services","$32,671,100,423","0.00%","USA","Analyze"
"FWONA","Liberty Media Formula One Corp Series A","02/11/2013","Common stocks","Large cap","Communication Services","$32,671,100,423","0.00%","USA","Analyze"
"FWONK","Liberty Media Formula One Corp Series C","07/08/2014","Common stocks","Large cap","Communication Services","$32,671,100,423","0.00%","USA","Analyze"
"LSXMA","Liberty Media Liberty Siriusxm Series A","04/18/2016","Common stocks","Large cap","Communication Services","$32,671,100,423","0.00%","USA","Analyze"
"LSXMB","Liberty Media Liberty Siriusxm Series B","04/21/2016","Common stocks","Large cap","Consumer Discretionary","$32,671,100,423","0.00%","USA","Analyze"
"LSXMK","Liberty Media Liberty Siriusxm Series C","04/18/2016","Common stocks","Large cap","Communication Services","$32,671,100,423","0.00%","USA","Analyze"
"TTD","Trade Desk Inc Class A","09/21/2016","Common stocks","Large cap","Information Technology","$31,560,008,237","0.00%","USA","Analyze"
"BF.A","Brown Forman Inc Class A","05/03/1973","Common stocks","Large cap","Consumer Staples","$31,520,531,119","1.15%","USA","Analyze"
"PCG","Pacific Gas & Electric Co.","03/01/2001","Common stocks","Large cap","Utilities","$29,803,456,060","0.00%","USA","Analyze"
"U","Unity Software Inc.","09/18/2020","Common stocks","Large cap","Information Technology","$29,765,388,046","0.00%","USA","Analyze"
"VEEV","Veeva Systems Inc Class A","10/16/2013","Common stocks","Large cap","Health Care","$29,750,529,527","0.00%","USA","Analyze"
"MDB","MongoDB, Inc. Class A","10/19/2017","Common stocks","Large cap","Information Technology","$29,068,391,225","0.00%","USA","Analyze"
"TWLO","Twilio Inc Class A","06/23/2016","Common stocks","Large cap","Information Technology","$28,954,250,921","0.00%","USA","Analyze"
"ON","ON Semiconductor Corp","02/28/2001","Common stocks","Large cap","Information Technology","$27,865,834,671","0.00%","USA","Analyze"
"CQP","Cheniere Energy Partners LP","03/21/2007","MLPs","Large cap","Energy","$26,960,310,751","4.75%","USA","Analyze"
"CSGP","Costar Group Inc","07/01/1998","Common stocks","Large cap","Industrials","$26,855,213,995","0.00%","USA","Analyze"
"PLTR","Palantir Technologies Inc.","09/23/2020","Common stocks","Large cap","Information Technology","$26,777,066,938","0.00%","USA","Analyze"
"RBLX","Roblox Corp","03/10/2021","Common stocks","Large cap","Communication Services","$26,491,974,021","0.00%","USA","Analyze"
"SIRI","Sirius Xm Holdings Inc","02/11/2013","Common stocks","Large cap","Communication Services","$26,214,237,956","1.10%","USA","Analyze"
"SGEN","Seattle Genetics Inc","03/07/2001","Common stocks","Large cap","Health Care","$25,994,105,620","0.00%","USA","Analyze"
"MKC.V","McCormick & Co Voting","09/21/2001","Common stocks","Large cap","Consumer Staples","$25,942,257,838","1.43%","USA","Analyze"
"INVH","Invitation Homes Inc","02/01/2017","REITs","Large cap","Real Estate","$24,859,050,234","1.77%","USA","Analyze"
"PARAA","Paramount Global - Class A","02/17/2022","Common stocks","Large cap","Communication Services","$24,825,871,190","2.33%","USA","Analyze"
"LEN.B","Lennar Corporation Class B","04/09/2003","Common stocks","Large cap","Consumer Discretionary","$24,644,405,517","1.58%","USA","Analyze"
"HZNP","Horizon Pharma Plc","07/28/2011","Common stocks","Large cap","Health Care","$24,248,187,675","0.00%","USA","Analyze"
"BILL","Bill.com Holdings, Inc.","12/12/2019","Common stocks","Large cap","Information Technology","$24,047,012,135","0.00%","USA","Analyze"
"HUBS","Hubspot Inc","10/09/2014","Common stocks","Large cap","Information Technology","$23,885,767,931","0.00%","USA","Analyze"
"ZI","ZoomInfo Technologies Inc. - Class A","06/04/2020","Common stocks","Large cap","Communication Services","$23,427,807,255","0.00%","USA","Analyze"
"LBRDA","Liberty Broadband Corp Series A","11/04/2014","Common stocks","Large cap","Communication Services","$23,215,681,945","0.00%","USA","Analyze"
"LBRDK","Liberty Broadband Corp Series C","11/04/2014","Common stocks","Large cap","Communication Services","$23,215,681,945","0.00%","USA","Analyze"
"CLR","Continental Resources Inc","05/15/2007","Common stocks","Large cap","Energy","$22,859,721,400","1.09%","USA","Analyze"
"OKTA","Okta Inc Class A","04/07/2017","Common stocks","Large cap","Information Technology","$22,847,262,234","0.00%","USA","Analyze"
"SPLK","Splunk Inc","04/19/2012","Common stocks","Large cap","Information Technology","$22,833,863,000","0.00%","USA","Analyze"
"VICI","VICI Properties Inc","10/17/2017","REITs","Large cap","Real Estate","$21,659,081,220","4.78%","USA","Analyze"
"DOCU","Docusign Inc.","04/27/2018","Common stocks","Large cap","Information Technology","$21,360,770,658","0.00%","USA","Analyze"
"AVTR","Avantor, Inc.","05/17/2019","Common stocks","Large cap","Health Care","$20,964,603,460","0.00%","USA","Analyze"
"SUI","Sun Communities, Inc","03/07/2001","REITs","Large cap","Real Estate","$20,653,984,339","1.88%","USA","Analyze"
